"ID_LIGNE";"SVL_IND";"M_IND";"SVL_MOTHERS";"M_MOTHERS";"SVL_by_M_IND";"SVL_by_M_MOTHERS";"SEX"
1;20;0.16;65;3.86;125;16.839378238342;"f"
2;19;0.14;61;3.19;135.714285714286;19.1222570532915;"f"
3;21;0.17;61;2.62;123.529411764706;23.2824427480916;"m"
4;21;0.18;69;4.27;116.666666666667;16.1592505854801;"f"
5;19;0.15;65;3.86;126.666666666667;16.839378238342;"m"
6;19;0.14;61;3.19;135.714285714286;19.1222570532915;"f"
7;21;0.18;61;2.62;116.666666666667;23.2824427480916;"f"
8;20;0.18;69;4.27;111.111111111111;16.1592505854801;"m"
9;20;0.17;65;3.86;117.647058823529;16.839378238342;"m"
10;20;0.16;65;3.86;125;16.839378238342;"m"
11;19;0.14;61;3.19;135.714285714286;19.1222570532915;"m"
12;20;0.17;69;4.27;117.647058823529;16.1592505854801;"m"
13;21;0.18;61;2.62;116.666666666667;23.2824427480916;"m"
14;20;0.18;69;4.27;111.111111111111;16.1592505854801;"m"
15;19;0.14;65;3.86;135.714285714286;16.839378238342;"f"
16;21;0.16;69;4.27;131.25;16.1592505854801;"f"
17;20;0.15;65;3.86;133.333333333333;16.839378238342;"f"
18;20;0.14;61;3.19;142.857142857143;19.1222570532915;"f"
19;19;0.14;61;3.19;135.714285714286;19.1222570532915;"m"
20;21;0.18;69;4.27;116.666666666667;16.1592505854801;"f"
21;21;0.15;65;3.86;140;16.839378238342;"f"
22;19;0.14;61;3.19;135.714285714286;19.1222570532915;"m"
23;21;0.17;61;2.62;123.529411764706;23.2824427480916;"f"
24;20;0.18;69;4.27;111.111111111111;16.1592505854801;"m"
25;20;0.16;65;3.86;125;16.839378238342;"f"
26;21;0.18;69;4.27;116.666666666667;16.1592505854801;"m"
27;21;0.14;61;3.19;150;19.1222570532915;"m"
28;19;0.16;60;2.66;118.75;22.5563909774436;"m"
29;20;0.14;60;3.48;142.857142857143;17.2413793103448;"m"
30;20;0.18;65;3.99;111.111111111111;16.2907268170426;"f"
31;20;0.17;65;3.99;117.647058823529;16.2907268170426;"m"
32;21;0.16;60;2.66;131.25;22.5563909774436;"f"
33;18;0.14;60;3.48;128.571428571429;17.2413793103448;"m"
34;18;0.14;60;3.48;128.571428571429;17.2413793103448;"m"
35;20;0.17;65;3.99;117.647058823529;16.2907268170426;"f"
36;21;0.16;60;2.66;131.25;22.5563909774436;"f"
37;20;0.17;65;3.99;117.647058823529;16.2907268170426;"m"
38;18;0.13;60;3.48;138.461538461538;17.2413793103448;"m"
39;20;0.19;65;3.99;105.263157894737;16.2907268170426;"m"
40;20;0.15;60;2.66;133.333333333333;22.5563909774436;"f"
41;17;0.13;60;3.48;130.769230769231;17.2413793103448;"m"
42;20;0.17;65;3.99;117.647058823529;16.2907268170426;"f"
43;21;0.18;65;3.99;116.666666666667;16.2907268170426;"f"
44;19;0.14;60;3.48;135.714285714286;17.2413793103448;"f"
45;20;0.17;65;3.99;117.647058823529;16.2907268170426;"m"
46;20;0.15;62;3.32;133.333333333333;18.6746987951807;"m"
47;19;0.15;65;3.8;126.666666666667;17.1052631578947;"m"
48;18;0.13;62;3.32;138.461538461538;18.6746987951807;"m"
49;20;0.13;62;3.32;153.846153846154;18.6746987951807;"f"
50;19;0.13;65;3.8;146.153846153846;17.1052631578947;"f"
51;19;0.13;62;3.32;146.153846153846;18.6746987951807;"f"
52;21;0.16;69;4.53;131.25;15.2317880794702;"f"
53;21;0.16;62;3.87;131.25;16.0206718346253;"f"
54;19;0.15;69;4.53;126.666666666667;15.2317880794702;"m"
55;20;0.16;69;4.53;125;15.2317880794702;"f"
56;21;0.17;62;3.87;123.529411764706;16.0206718346253;"f"
57;20;0.17;69;4.53;117.647058823529;15.2317880794702;"m"
58;20;0.17;62;3.87;117.647058823529;16.0206718346253;"m"
59;20;0.15;69;4.53;133.333333333333;15.2317880794702;"f"
60;20;0.17;62;3.87;117.647058823529;16.0206718346253;"f"
61;21;0.17;69;4.53;123.529411764706;15.2317880794702;"m"
62;20;0.17;62;3.87;117.647058823529;16.0206718346253;"m"
63;20;0.16;69;4.53;125;15.2317880794702;"f"
64;19;0.14;62;3.87;135.714285714286;16.0206718346253;"m"
65;20;0.15;69;4.53;133.333333333333;15.2317880794702;"f"
66;21;0.17;62;3.87;123.529411764706;16.0206718346253;"m"
67;20;0.14;63;4.11;142.857142857143;15.3284671532847;"m"
68;20;0.15;63;3.8;133.333333333333;16.5789473684211;"f"
69;18;0.14;67;4.88;128.571428571429;13.7295081967213;"m"
70;21;0.17;64;3.78;123.529411764706;16.9312169312169;"f"
71;18;0.15;63;3.8;120;16.5789473684211;"f"
72;20;0.15;63;4.11;133.333333333333;15.3284671532847;"m"
73;21;0.17;63;3.78;123.529411764706;16.6666666666667;"m"
74;20;0.16;66;3.93;125;16.793893129771;"m"
75;18;0.13;63;3.78;138.461538461538;16.6666666666667;"f"
76;19;0.12;63;4.11;158.333333333333;15.3284671532847;"f"
77;21;0.17;64;3.78;123.529411764706;16.9312169312169;"m"
78;18;0.14;67;4.88;128.571428571429;13.7295081967213;"f"
79;20;0.16;63;3.78;125;16.6666666666667;"m"
80;21;0.15;66;3.93;140;16.793893129771;"f"
81;20;0.16;63;3.78;125;16.6666666666667;"f"
82;18;0.14;63;3.8;128.571428571429;16.5789473684211;"m"
83;18;0.15;67;4.88;120;13.7295081967213;"m"
84;20;0.17;64;3.78;117.647058823529;16.9312169312169;"m"
85;20;0.17;66;3.93;117.647058823529;16.793893129771;"m"
86;20;0.16;63;3.78;125;16.6666666666667;"f"
87;22;0.2;66;3.93;110;16.793893129771;"f"
88;18;0.14;63;3.8;128.571428571429;16.5789473684211;"f"
89;21;0.16;64;3.78;131.25;16.9312169312169;"f"
90;18;0.14;67;4.88;128.571428571429;13.7295081967213;"f"
91;19;0.16;66;3.93;118.75;16.793893129771;"m"
92;21;0.16;63;3.78;131.25;16.6666666666667;"f"
93;21;0.18;66;3.93;116.666666666667;16.793893129771;"f"
94;19;0.14;63;3.8;135.714285714286;16.5789473684211;"f"
95;19;0.15;63;4.11;126.666666666667;15.3284671532847;"m"
96;20;0.14;67;4.88;142.857142857143;13.7295081967213;"m"
97;20;0.18;62;3.29;111.111111111111;18.8449848024316;"m"
98;21;0.17;63;3.84;123.529411764706;16.40625;"f"
99;21;0.16;63;3.84;131.25;16.40625;"f"
100;21;0.17;63;3.84;123.529411764706;16.40625;"f"
101;20;0.15;57;3.06;133.333333333333;18.6274509803922;"m"
102;21;0.15;62;3.29;140;18.8449848024316;"f"
103;18;0.12;57;3.06;150;18.6274509803922;"m"
104;20;0.17;62;3.29;117.647058823529;18.8449848024316;"m"
105;19;0.12;57;3.06;158.333333333333;18.6274509803922;"m"
106;20;0.18;62;3.29;111.111111111111;18.8449848024316;"m"
107;21;0.15;57;3.06;140;18.6274509803922;"m"
108;20;0.17;63;3.84;117.647058823529;16.40625;"m"
109;21;0.17;63;3.84;123.529411764706;16.40625;"f"
110;21;0.17;62;3.29;123.529411764706;18.8449848024316;"f"
111;19;0.14;57;3.06;135.714285714286;18.6274509803922;"m"
112;20;0.14;56;2.66;142.857142857143;21.0526315789474;"m"
113;18;0.17;57;3.41;105.882352941176;16.7155425219941;"m"
114;21;0.16;61;3.41;131.25;17.8885630498534;"f"
115;20;0.17;54;2.83;117.647058823529;19.0812720848057;"m"
116;21;0.17;61;3.41;123.529411764706;17.8885630498534;"f"
117;21;0.17;60;3.26;123.529411764706;18.4049079754601;"f"
118;21;0.18;60;3.26;116.666666666667;18.4049079754601;"f"
119;20;0.13;56;2.66;153.846153846154;21.0526315789474;"m"
120;20;0.17;61;3.41;117.647058823529;17.8885630498534;"m"
121;20;0.17;61;3.41;117.647058823529;17.8885630498534;"m"
122;21;0.18;60;3.26;116.666666666667;18.4049079754601;"m"
123;20;0.16;61;3.41;125;17.8885630498534;"m"
124;20;0.15;54;2.83;133.333333333333;19.0812720848057;"f"
125;21;0.16;61;3.41;131.25;17.8885630498534;"f"
126;20;0.16;56;2.66;125;21.0526315789474;"m"
127;22;0.19;60;3.73;115.789473684211;16.0857908847185;"m"
128;20;0.16;60;3.4;125;17.6470588235294;"f"
129;20;0.18;70;4.31;111.111111111111;16.2412993039443;"m"
130;21;0.16;60;3.4;131.25;17.6470588235294;"f"
131;20;0.16;70;4.31;125;16.2412993039443;"m"
132;21;0.18;60;3.73;116.666666666667;16.0857908847185;"f"
133;20;0.17;70;4.31;117.647058823529;16.2412993039443;"m"
134;21;0.21;60;3.73;100;16.0857908847185;"m"
135;19;0.15;60;3.4;126.666666666667;17.6470588235294;"f"
136;21;0.13;58;2.9;161.538461538462;20;"m"
137;20;0.17;65;3.89;117.647058823529;16.7095115681234;"f"
138;20;0.14;58;2.9;142.857142857143;20;"f"
139;21;0.16;65;3.89;131.25;16.7095115681234;"m"
140;18;0.13;58;2.9;138.461538461538;20;"m"
141;20;0.18;65;3.89;111.111111111111;16.7095115681234;"m"
142;21;0.14;58;2.9;150;20;"f"
143;21;0.15;65;3.89;140;16.7095115681234;"f"
144;19;0.13;58;2.9;146.153846153846;20;"m"
145;20;0.14;58;2.9;142.857142857143;20;"m"
146;20;0.16;65;3.89;125;16.7095115681234;"m"
147;20;0.14;58;2.9;142.857142857143;20;"f"
148;20;0.19;57;3.23;105.263157894737;17.6470588235294;"m"
149;17;0.15;50;2.76;113.333333333333;18.1159420289855;"m"
150;20;0.18;60;3.2;111.111111111111;18.75;"m"
151;20;0.18;57;3.23;111.111111111111;17.6470588235294;"m"
152;20;0.19;60;3.2;105.263157894737;18.75;"f"
153;18;0.17;50;2.76;105.882352941176;18.1159420289855;"m"
154;21;0.19;53;2.64;110.526315789474;20.0757575757576;"m"
155;21;0.16;61;4.15;131.25;14.6987951807229;"m"
156;20;0.13;57;3.69;153.846153846154;15.4471544715447;"f"
157;21;0.19;53;2.64;110.526315789474;20.0757575757576;"f"
158;20;0.15;60;2.72;133.333333333333;22.0588235294118;"m"
159;21;0.15;61;4.15;140;14.6987951807229;"f"
160;20;0.14;57;3.69;142.857142857143;15.4471544715447;"f"
161;21;0.17;53;2.64;123.529411764706;20.0757575757576;"f"
162;19;0.12;60;2.72;158.333333333333;22.0588235294118;"f"
163;20;0.14;61;4.15;142.857142857143;14.6987951807229;"m"
164;19;0.12;57;3.69;158.333333333333;15.4471544715447;"f"
165;21;0.13;60;2.72;161.538461538462;22.0588235294118;"f"
166;21;0.14;61;4.15;150;14.6987951807229;"f"
167;20;0.14;57;3.69;142.857142857143;15.4471544715447;"f"
168;21;0.18;53;2.64;116.666666666667;20.0757575757576;"m"
